OFFER ( alarm_time = "7 am" ; alarm_name = "Wake up") & You have 2 alarms set, one for 7 am that is called Wake up.
OFFER ( alarm_time = "7:30 am" ; alarm_name = "Wake up") & You have 2 active alarms at this time. One alarm is titled Wake up and it is set for 7:30 amINFORM_COUNT ( count = "2") & You have 2 active alarms at this time. One alarm is titled Wake up and it is set for 7:30 am
OFFER ( alarm_time = "8:30 am" ; alarm_name = "Workout") & You also have an alarm titled Workout that is set for 8:30 am
CONFIRM ( new_alarm_time = "4:45 pm" ; new_alarm_name = "Music practice") & Okay, you would like to add a new alarm for 4:45 pm with the name Music practice, correct?
OFFER ( alarm_time = "6:30 am" ; alarm_name = "Wake Up") & There are 2 alarms which you have set currently, with one of the alarms being at 6:30 am, and it is called Wake Up.
OFFER ( alarm_time = "6:30 am" ; alarm_name = "Wake Up") & There are 2 alarms which you have set currently, with one of the alarms being at 6:30 am, and it is called Wake Up.
OFFER ( alarm_time = "6:30 am" ; alarm_name = "Wake Up") & There are 2 alarms which you have set currently, with one of the alarms being at 6:30 am, and it is called Wake Up.INFORM_COUNT ( count = "2") & There are 2 alarms which you have set currently, with one of the alarms being at 6:30 am, and it is called Wake Up.
CONFIRM ( new_alarm_time = "4:45 pm" ; new_alarm_name = "Grocery run") & Can you please confirm that you want to create an alarm called Grocery run for 4:45 pm?
OFFER ( alarm_time = "6 am" ; alarm_name = "Wake up") & Sure, you have 2 alarms set right now. One of them is your Wake up alarm at 6 am.
OFFER ( alarm_time = "6 am" ; alarm_name = "Wake up") & Sure, you have 2 alarms set right now. One of them is your Wake up alarm at 6 am.
OFFER ( alarm_time = "6 am" ; alarm_name = "Wake up") & Sure, you have 2 alarms set right now. One of them is your Wake up alarm at 6 am.INFORM_COUNT ( count = "2") & Sure, you have 2 alarms set right now. One of them is your Wake up alarm at 6 am.
CONFIRM ( new_alarm_time = "4:15 pm" ; new_alarm_name = "New alarm") & No problem. To confirm, you want to set a New alarm for 4:15 pm, is that right?
OFFER ( alarm_time = "8:30 am" ; alarm_name = "wake up") & You have 2 alarms set. One is for 8:30 am titled wake up.
OFFER ( alarm_time = "8:30 am" ; alarm_name = "wake up") & You have 2 alarms set. One is for 8:30 am titled wake up.
OFFER ( alarm_time = "8:30 am" ; alarm_name = "wake up") & You have 2 alarms set. One is for 8:30 am titled wake up.INFORM_COUNT ( count = "2") & You have 2 alarms set. One is for 8:30 am titled wake up.
CONFIRM ( new_alarm_time = "5:15 pm" ; new_alarm_name = "new alarm") & Okay, you want an alarm created at 5:15 pm titled new alarm, right?
CONFIRM ( new_alarm_time = "4 pm" ; new_alarm_name = "cooking") & Okay, creating a new alarm at 4 pm titled cooking, right?
OFFER ( alarm_time = "7 am" ; alarm_name = "Wake up") & You have an alarm for 7 am with the name Wake up.
CONFIRM ( new_alarm_time = "4:45 pm" ; new_alarm_name = "New Alarm") & Please confirm that you would like me to create an alarm for 4:45 pm with the name New Alarm.
CONFIRM ( new_alarm_time = "4:15 pm" ; new_alarm_name = "Cooking") & Please confirm that you would like me to create an alarm for 4:15 pm with the name Cooking.
